"Data", "Cases"
"1/22/20", 0
"1/23/20", 0
"1/24/20", 0
"1/25/20", 0
"1/26/20", 0
"1/27/20", 0
"1/28/20", 0
"1/29/20", 0
"1/30/20", 0
"1/31/20", 0
"2/1/20", 0
"2/2/20", 0
"2/3/20", 0
"2/4/20", 0
"2/5/20", 0
"2/6/20", 0
"2/7/20", 0
"2/8/20", 0
"2/9/20", 0
"2/10/20", 0
"2/11/20", 0
"2/12/20", 0
"2/13/20", 0
"2/14/20", 0
"2/15/20", 0
"2/16/20", 0
"2/17/20", 0
"2/18/20", 0
"2/19/20", 0
"2/20/20", 0
"2/21/20", 0
"2/22/20", 0
"2/23/20", 0
"2/24/20", 0
"2/25/20", 0
"2/26/20", 1
"2/27/20", 1
"2/28/20", 1
"2/29/20", 2
"3/1/20", 2
"3/2/20", 2
"3/3/20", 2
"3/4/20", 4
"3/5/20", 4
"3/6/20", 13
"3/7/20", 13
"3/8/20", 20
"3/9/20", 25
"3/10/20", 31
"3/11/20", 38
"3/12/20", 52
"3/13/20", 151
"3/14/20", 151
"3/15/20", 162
"3/16/20", 200
"3/17/20", 321
"3/18/20", 372
"3/19/20", 621
"3/20/20", 793
"3/21/20", 1021
"3/22/20", 1546
"3/23/20", 1924
"3/24/20", 2247
"3/25/20", 2554
"3/26/20", 2985
"3/27/20", 3417
"3/28/20", 3904
"3/29/20", 4256
"3/30/20", 4579
"3/31/20", 5717
"4/1/20", 6836
"4/2/20", 8044
"4/3/20", 9056
"4/4/20", 10360
"4/5/20", 11130
"4/6/20", 12161
"4/7/20", 14034
"4/8/20", 16170
"4/9/20", 18092
"4/10/20", 19638
"4/11/20", 20727
"4/12/20", 22192
"4/13/20", 23430
"4/14/20", 25262
"4/15/20", 28320
"4/16/20", 30425
"4/17/20", 33682
"4/18/20", 36658
"4/19/20", 38654
"4/20/20", 40743
"4/21/20", 43079
"4/22/20", 45757
"4/23/20", 50036
"4/24/20", 54043
"4/25/20", 59324
"4/26/20", 63100
"4/27/20", 67446
"4/28/20", 73235
"4/29/20", 79685
"4/30/20", 87187
"5/1/20", 92202
"5/2/20", 97100
"5/3/20", 101826
"5/4/20", 108620
"5/5/20", 115455
"5/6/20", 126611
"5/7/20", 135773
"5/8/20", 146894
"5/9/20", 156061
"5/10/20", 162699
"5/11/20", 169594
"5/12/20", 178214
"5/13/20", 190137
"5/14/20", 203165
"5/15/20", 220291
"5/16/20", 233511
"5/17/20", 241080
"5/18/20", 255368
"5/19/20", 271885
"5/20/20", 291579
"5/21/20", 310087
"5/22/20", 330890
"5/23/20", 347398
"5/24/20", 363211
"5/25/20", 374898
"5/26/20", 391222
"5/27/20", 411821
"5/28/20", 438238
"5/29/20", 465166
"5/30/20", 498440
"5/31/20", 514849
"6/1/20", 526447
"6/2/20", 555383
"6/3/20", 584016
"6/4/20", 614941
"6/5/20", 645771
"6/6/20", 672846
"6/7/20", 691758
"6/8/20", 707412
"6/9/20", 739503
"6/10/20", 772416
"6/11/20", 802828
"6/12/20", 828810
"6/13/20", 850514
"6/14/20", 867624
"6/15/20", 888271
"6/16/20", 923189
"6/17/20", 955377
"6/18/20", 978142
"6/19/20", 1032913
"6/20/20", 1067579
"6/21/20", 1083341
"6/22/20", 1106470
"6/23/20", 1145906
"6/24/20", 1188631
"6/25/20", 1228114
"6/26/20", 1274974
"6/27/20", 1313667
"6/28/20", 1344143
"6/29/20", 1368195
"6/30/20", 1402041
"7/1/20", 1448753
"7/2/20", 1496858
"7/3/20", 1539081
"7/4/20", 1577004
"7/5/20", 1603055
"7/6/20", 1623284
"7/7/20", 1668589
"7/8/20", 1713160
"7/9/20", 1755779
"7/10/20", 1800827
"7/11/20", 1839850
"7/12/20", 1864681
"7/13/20", 1884967
"7/14/20", 1926824
"7/15/20", 1966748
"7/16/20", 2012151
"7/17/20", 2046328
"7/18/20", 2074860
"7/19/20", 2098389
"7/20/20", 2118646
"7/21/20", 2159654
"7/22/20", 2227514
"7/23/20", 2287475
"7/24/20", 2343366
"7/25/20", 2394513
"7/26/20", 2419091
"7/27/20", 2442375
"7/28/20", 2483191
"7/29/20", 2552265
"7/30/20", 2610102
"7/31/20", 2662485
"8/1/20", 2707877
"8/2/20", 2733677
"8/3/20", 2750318
"8/4/20", 2801921
"8/5/20", 2859073