"Date", "Cases"
"1949-01", 1
"1949-02", 2
"1949-03", 3
"1949-04", 4
"1949-05", 5
"1949-06", 6
"1949-07", 7
"1949-08", 8
"1949-09", 9
"1949-10", 10
"1949-11", 11
"1949-12", 12
"1950-01", 13
"1950-02", 14
"1950-03", 15
"1950-04", 16
"1950-05", 17
"1950-06", 18
"1950-07", 19
"1950-08", 20
"1950-09", 21
"1950-10", 22
"1950-11", 23
"1950-12", 24
"1951-01", 25
"1951-02", 26
"1951-03", 27
"1951-04", 28
"1951-05", 29
"1951-06", 30
"1951-07", 31
"1951-08", 32
"1951-09", 33
"1951-10", 34
"1951-11", 35
"1951-12", 36
"1952-01", 37
"1952-02", 38
"1952-03", 39
"1952-04", 40
"1952-05", 41
"1952-06", 42
"1952-07", 43
"1952-08", 44
"1952-09", 45
"1952-10", 46
"1952-11", 47
"1952-12", 48
"1953-01", 49
"1953-02", 50
"1953-03", 51
"1953-04", 52
"1953-05", 53
"1953-06", 54
"1953-07", 55
"1953-08", 56
"1953-09", 57
"1953-10", 58
"1953-11", 59
"1953-12", 60
"1954-01", 61
"1954-02", 62
"1954-03", 63
"1954-04", 64
"1954-05", 65
"1954-06", 66
"1954-07", 67
"1954-08", 68
"1954-09", 69
"1954-10", 70
"1954-11", 71
"1954-12", 72
"1955-01", 73
"1955-02", 74
"1955-03", 75
"1955-04", 76
"1955-05", 77
"1955-06", 78
"1955-07", 79
"1955-08", 80
"1955-09", 81
"1955-10", 82
"1955-11", 83
"1955-12", 84
"1956-01", 85
"1956-02", 86
"1956-03", 87
"1956-04", 88
"1956-05", 89
"1956-06", 90
"1956-07", 91
"1956-08", 92
"1956-09", 93
"1956-10", 94
"1956-11", 95
"1956-12", 96
"1957-01", 97
"1957-02", 98
"1957-03", 99
"1957-04", 100
"1957-05", 101
"1957-06", 102
"1957-07", 103
"1957-08", 104
"1957-09", 105
"1957-10", 106
"1957-11", 107
"1957-12", 108
"1958-01", 109
"1958-02", 110
"1958-03", 111
"1958-04", 112
"1958-05", 113
"1958-06", 114
"1958-07", 115
"1958-08", 116
"1958-09", 117
"1958-10", 118
"1958-11", 119
"1958-12", 120
"1959-01", 121
"1959-02", 122
"1959-03", 123
"1959-04", 124
"1959-05", 125
"1959-06", 126
"1959-07", 127
"1959-08", 128
"1959-09", 129
"1959-10", 130
"1959-11", 131
"1959-12", 132
"1960-01", 133
"1960-02", 134
"1960-03", 135
"1960-04", 136
"1960-05", 137
"1960-06", 138
"1960-07", 139
"1960-08", 140
"1960-09", 141
"1960-10", 142
"1960-11", 143
"1960-12", 144